白菜,虾仁,相宜,虾仁含高蛋白，低脂肪，钙、磷含量高。常吃白菜可预防便秘、痔疮及结肠癌等。白菜含丰富的维生素C，可有效地防治牙龈出血及坏血症，有解热除燥的功效。
菠菜,猪肝,相宜,猪肝富含叶酸、维生素B以及铁等造血原料，菠菜也含有较多的叶酸和铁，两种食物同食，是防治老年贫血的食疗良方。
菜花,西红柿,相宜,菜花含有维生素A、B1、B2、C和E、K、U等特殊成分，能清血健身，增强抗毒能力，预防疾病。可治疗胃肠溃疡、便秘、皮肤化脓及预防牙周病。西红柿可健胃消食，对高血压、高血脂患者尤为适宜。
葱,兔肉,相宜,兔肉中所含蛋白质高于等量的牛羊肉，且易于吸收，低脂肪，所以一直被认为是美容食品。葱有降血脂的功效。此菜肉嫩易消化。
蛋黄,牛奶,相宜,蛋奶香皆备，清凉解渴，增加营养。
冬瓜,鸡肉,相宜,鸡肉有补中益气的功效，冬瓜能防止身体发胖 ，有清热利尿，消肿轻身的作用。
豆苗,虾仁,相宜,对体质阴寒怕冷、低血压、食欲不振、精力衰退等症状均有食疗效果 。
韭菜,豆腐,相宜,韭菜有促进血液循环、增进体力、提高性功能、健胃提神等功效。豆腐宽中益气、清热散血、消肿利尿、润燥生津 。适宜于阳痿、阳衰、早泻、遗精、遗尿、妇女阳气不足、大便干燥、癌症患者食用。
豆角,土豆,相宜,豆角的营养成分，能使人头脑宁静，调理消化系统 ，消除胸膈胀满。可防治急性肠胃炎，呕吐腹泻。
蛤蜊,豆腐,相宜,蛤蜊有滋阴润燥，利尿消肿，止渴的作用。豆腐有清热解毒 ，生津润燥的药用功效。两者相配可治气血不足，皮肤粗糙。
海带,豆腐,相宜,豆类中的皂角苷可降低胆固醇的吸收，却增加碘元素的排泄，而海带含碘极多 ，可及时补充碘。海带中过多的碘可诱发甲状腺肿大。让豆腐中的皂角苷多排泄一点，可维持体内碘元素平衡。
海带,排骨,相宜,排骨配以海带炖食 ，可为患全身性或以四肢为主的局部性皮肤瘙痒患者解除痛苦。
红枣,核桃,相宜,营养丰富，含有丰富的蛋白质、脂肪、碳水化合物和胡萝卜素、维生素B、C、P和钙、磷、铁等。大枣中维生素C的含量极为丰富 ，人们常把它用于治疗贫血、血小板减少性紫癜等病。
花生,芹菜,相宜,芹菜具有清热、平肝、明目和降血压的作用。花生具有止血、润肺、和胃、降低血压、降低胆固醇等作用。常吃花生可改善脑血管循环、延缓衰老 。适合高血压、高血脂、血管硬化等患者食用。
黄瓜,木耳,相宜,生黄瓜有抑制体内糖转化为脂肪的作用，有减肥的功效。木耳也具有滋补强壮、和血作用 ，可以平衡营养。
海鲜,鸡蛋,相宜,海鲜和鸡蛋都是良好的蛋白质来源。海鲜类食物可以提供丰富的锌、铁等微量矿物质，加在柔软易消化的蒸蛋中 ，简单易行
鸡蛋,韭菜,相宜,两者混炒 ，可以起到补肾、行气、止痛的作用。对治疗阳痿、尿频、肾虚、痔疮及胃痛亦有一定疗效。
鸡蛋,羊肉,相宜,不但滋补营养，而且能够促进血液的新陈代谢 ，减缓衰老。
鸡肉,菜花,相宜,菜花含多种维生素和矿物质，能有效防治消化道溃疡。此外，还具有补脑、利内脏、益气壮骨及抗衰老等功效。常吃可增强肝脏的解毒作用 ，提高免疫力，防止感冒和坏血病。
鸡肉,红豆,相宜,红豆含有蛋白质、脂肪、糖类、胡萝卜素、维生素等。有补肾滋阴、补血、明目的功效，有活血、利尿、祛风解毒作用，以及活血泽肤等特点。鸡肉营养丰富 ，有温中益气，填精补肾等作用。
甲鱼,冬瓜,相宜,甲鱼有润肤健肤，明目的作用。冬瓜富含维生素B和植物纤维等 ，具有生津止渴、除湿利尿、散热解毒等功效。冬瓜中含有的丙醇二酸可防止人体脂肪堆积，多吃有助于减肥。
